job,marital,education,default,housing,loan,contact,month,poutcome,Target
management,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
unknown,single,unknown,no,no,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,yes,unknown,may,unknown,no
entrepreneur,divorced,tertiary,yes,yes,no,unknown,may,unknown,no
retired,married,primary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,unknown,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,yes,no,unknown,may,unknown,no
admin.,single,unknown,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,single,primary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,yes,yes,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,secondary,no,yes,yes,unknown,may,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,no,yes,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,unknown,may,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
management,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
retired,married,unknown,no,yes,no,unknown,may,unknown,no
admin.,single,primary,no,yes,no,unknown,may,unknown,no
self-employed,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,no,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,yes,unknown,may,unknown,no
entrepreneur,single,tertiary,no,no,yes,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
blue-collar,single,unknown,no,yes,no,unknown,may,unknown,no
services,married,primary,no,yes,no,unknown,may,unknown,no
admin.,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
retired,married,tertiary,no,no,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,yes,unknown,may,unknown,no
services,divorced,secondary,no,no,no,unknown,may,unknown,no
services,divorced,secondary,no,yes,yes,unknown,may,unknown,no
services,divorced,secondary,yes,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
services,divorced,secondary,no,no,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
self-employed,married,tertiary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,secondary,no,yes,yes,unknown,may,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,secondary,no,no,no,unknown,may,unknown,no
technician,married,secondary,no,yes,yes,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
entrepreneur,divorced,secondary,no,no,no,unknown,may,unknown,no
management,married,tertiary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
retired,married,tertiary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
technician,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,yes,unknown,may,unknown,no
retired,single,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,no,no,unknown,may,unknown,no
self-employed,married,primary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
retired,divorced,primary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,no,no,unknown,may,unknown,no
technician,married,primary,no,no,no,unknown,may,unknown,no
technician,divorced,unknown,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,unknown,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,tertiary,no,no,yes,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,yes,unknown,may,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,yes
management,married,unknown,no,no,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,yes,unknown,may,unknown,no
unemployed,single,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,unknown,may,unknown,no
services,single,unknown,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
housemaid,divorced,primary,no,yes,no,unknown,may,unknown,no
self-employed,single,secondary,no,yes,no,unknown,may,unknown,no
unemployed,married,tertiary,no,no,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
